Date,Open,High,Low,Close,Adj Close,Volume
05,20929.039063,21006.939453,20905.000000,21006.939453,21006.939453,260960000
08,20991.259766,21017.890625,20971.050781,21012.279297,21012.279297,276150000
09,21022.279297,21046.849609,20938.039063,20975.779297,20975.779297,273000000
10,20958.490234,20976.279297,20884.150391,20943.109375,20943.109375,283340000
11,20925.720703,20933.359375,20798.900391,20919.419922,20919.419922,287680000
12,20893.189453,20916.099609,20869.740234,20896.609375,20896.609375,288500000
15,20923.630859,21000.830078,20923.630859,20981.939453,20981.939453,313170000
16,20984.480469,21033.529297,20932.880859,20979.750000,20979.750000,311580000
17,20846.169922,20846.169922,20601.080078,20606.929688,20606.929688,423200000
18,20579.650391,20759.199219,20553.449219,20663.019531,20663.019531,422590000
19,20698.279297,20857.130859,20687.939453,20804.839844,20804.839844,365180000
22,20867.769531,20914.259766,20860.160156,20894.830078,20894.830078,276120000
23,20908.669922,20961.140625,20896.220703,20937.910156,20937.910156,244950000
24,20949.210938,21022.820313,20933.580078,21012.419922,21012.419922,283180000
25,21062.960938,21112.320313,21051.410156,21082.949219,21082.949219,268970000
26,21070.150391,21092.820313,21050.490234,21080.279297,21080.279297,208000000
30,21045.490234,21063.619141,21009.599609,21029.470703,21029.470703,242810000
31,21048.460938,21051.699219,20942.570313,21008.650391,21008.650391,371580000
32,21030.550781,21144.179688,20994.220703,21144.179688,21144.179688,276730000
33,21142.089844,21225.039063,21129.560547,21206.289063,21206.289063,329700000
