Date,Open,High,Low,Close,Adj Close,Volume
1,24625.349609,24634.279297,24358.720703,24476.349609,24476.349609,2024201800
2,24604.289063,24624.210938,24476.199219,24577.910156,24577.910156,1357855500
3,24656.949219,24889.830078,24548.970703,24889.029297,24889.029297,1381056000
4,24931.820313,25164.970703,24931.820313,25015.419922,25015.419922,2297649800
5,25101.529297,25203.539063,25024.759766,25125.550781,25125.550781,1642633800
6,25126.480469,25211.279297,25087.320313,25156.339844,25156.339844,1417408900
7,25233.310547,25385.720703,25213.470703,25371.589844,25371.589844,2212734400
8,25413.349609,25413.349609,25228.460938,25335.939453,25335.939453,1797601700
9,25355.759766,25374.949219,25245.439453,25293.630859,25293.630859,1512406100
10,25034.189453,25263.810547,25025.050781,25136.519531,25136.519531,1677298400
11,25171.660156,25266.220703,25124.060547,25174.869141,25174.869141,1312777700
12,25318.289063,25450.039063,25201.339844,25391.339844,25391.339844,1410586000
13,25415.570313,25486.980469,25307.269531,25403.150391,25403.150391,1758690200
14,25382.259766,25428.500000,25296.660156,25428.500000,25428.500000,1409941800
15,25511.460938,25680.669922,25491.779297,25630.779297,25630.779297,1890794600
16,25670.980469,25724.400391,25588.699219,25639.269531,25639.269531,1453713000
17,25672.400391,25744.720703,25579.150391,25701.630859,25701.630859,1077784400
18,25706.449219,25817.949219,25650.060547,25660.650391,25660.650391,2997857600
19,25736.349609,25834.750000,25614.609375,25809.220703,25809.220703,2017055200
20,25926.060547,25973.000000,25851.849609,25924.050781,25924.050781,1990193800
