Date,Open,High,Low,Close,Adj Close,Volume
8,19709.009766,19929.480469,19705.130859,19895.699219,19895.699219,148700
9,19915.640625,19917.449219,19838.710938,19843.000000,19843.000000,123500
10,19890.560547,19938.529297,19866.300781,19900.089844,19900.089844,129000
11,19943.949219,19989.939453,19906.349609,19961.550781,19961.550781,136400
12,19941.640625,19941.640625,19809.910156,19883.900391,19883.900391,136800
15,19753.460938,19869.849609,19740.630859,19869.849609,19869.849609,128300
16,19953.060547,19998.490234,19862.410156,19919.820313,19919.820313,131100
17,19806.779297,19842.779297,19764.630859,19814.880859,19814.880859,118100
18,19556.990234,19601.529297,19449.730469,19553.859375,19553.859375,135700
19,19591.410156,19628.640625,19497.289063,19590.759766,19590.759766,115600
22,19670.480469,19722.929688,19618.730469,19678.279297,19678.279297,78500
23,19647.740234,19693.019531,19585.539063,19613.279297,19613.279297,83400
24,19777.560547,19782.810547,19690.099609,19742.980469,19742.980469,101300
25,19737.210938,19850.929688,19720.119141,19813.130859,19813.130859,95100
26,19798.490234,19801.589844,19686.490234,19686.839844,19686.839844,84500
29,19697.179688,19736.619141,19627.189453,19682.570313,19682.570313,67300
30,19681.109375,19691.439453,19570.130859,19677.849609,19677.849609,72600
31,19630.330078,19673.509766,19589.250000,19650.570313,19650.570313,125100
32,19692.160156,19887.660156,19686.320313,19860.029297,19860.029297,103500
33,19970.230469,20239.810547,19967.000000,20177.279297,20177.279297,150400
34,20135.419922,20135.419922,20104.130859,20106.589844,20106.589844,0
