Date,Open,High,Low,Close,Adj Close,Volume
1,933.539978,934.900024,925.200012,927.130005,927.130005,1911300
2,926.119995,936.924988,925.260010,934.299988,934.299988,1329800
3,936.950012,937.500000,929.530029,932.169983,932.169983,1581800
4,931.979980,932.000000,925.159973,928.780029,928.780029,1173900
5,925.320007,932.530029,923.030029,930.599976,930.599976,835000
6,931.530029,933.440002,927.849976,932.219971,932.219971,1050600
7,932.950012,938.250000,929.340027,937.080017,937.080017,1108100
8,940.000000,943.109985,937.580017,943.000000,943.000000,969500
9,935.669983,939.333008,918.140015,919.619995,919.619995,2362100
10,921.000000,933.169983,918.750000,930.239990,930.239990,1596900
11,931.469971,937.755005,931.000000,934.010010,934.010010,1393000
12,935.000000,941.882996,935.000000,941.859985,941.859985,1120400
13,947.919983,951.466980,942.575012,948.820007,948.820007,1270800
14,952.979980,955.090027,949.500000,954.960022,954.960022,1024800
15,957.330017,972.629028,955.469971,969.539978,969.539978,1660500
16,969.700012,974.979980,965.030029,971.469971,971.469971,1252000
17,970.309998,976.200012,969.489990,975.880005,975.880005,1466700
18,975.020020,979.270020,960.179993,964.859985,964.859985,2448100
19,968.950012,971.500000,960.010010,966.950012,966.950012,1410500
20,969.460022,975.880005,966.000000,975.599976,975.599976,1719600
