Date,Open,High,Low,Close,Adj Close,Volume
1,146.759995,148.979996,146.759995,148.960007,148.960007,27327700
2,149.029999,153.699997,149.029999,153.009995,153.009995,48752400
3,153.869995,154.880005,153.449997,153.990005,153.990005,39130400
4,153.630005,153.940002,152.110001,153.259995,153.259995,25805700
5,152.449997,154.070007,152.309998,153.949997,153.949997,27255100
6,154.699997,156.419998,154.669998,156.100006,156.100006,32527000
7,156.009995,156.649994,155.050003,155.699997,155.699997,26009700
8,155.940002,156.059998,154.720001,155.470001,155.470001,20048500
9,153.600006,154.570007,149.710007,150.250000,150.250000,50767700
10,151.270004,153.339996,151.130005,152.539993,152.539993,33568200
11,153.380005,153.979996,152.630005,153.059998,153.059998,26960800
12,154.000000,154.580002,152.910004,153.990005,153.990005,22966400
13,154.899994,154.899994,153.309998,153.800003,153.800003,19918900
14,153.839996,154.169998,152.669998,153.339996,153.339996,19178000
15,153.729996,154.350006,153.029999,153.869995,153.869995,19235600
16,154.000000,154.240005,153.309998,153.610001,153.610001,21927600
17,153.419998,154.429993,153.330002,153.669998,153.669998,20126900
18,153.970001,154.169998,152.380005,152.759995,152.759995,24451200
19,153.169998,153.330002,152.220001,153.179993,153.179993,16404100
20,153.580002,155.449997,152.889999,155.449997,155.449997,27661800
