Date,Open,High,Low,Close,Adj Close,Volume
10,12601.459961,12718.660156,12591.750000,12716.889648,12716.889648,104480300
25,12758.480469,12762.040039,12659.700195,12694.549805,12694.549805,97719300
30,12732.740234,12783.230469,12703.959961,12749.120117,12749.120117,109857600
35,12728.969727,12776.080078,12715.669922,12757.459961,12757.459961,104830700
50,12767.129883,12772.879883,12662.490234,12711.059570,12711.059570,100141500
57,12728.839844,12771.000000,12714.379883,12770.410156,12770.410156,106195300
60,12824.049805,12832.290039,12729.490234,12807.040039,12807.040039,84466400
62,12787.690430,12841.660156,12776.019531,12804.530273,12804.530273,77912000
69,12700.120117,12786.889648,12587.450195,12631.610352,12631.610352,105679600
71,12608.190430,12634.259766,12489.950195,12590.059570,12590.059570,119778200
75,12612.299805,12658.549805,12596.719727,12638.690430,12638.690430,118293100
80,12664.969727,12670.259766,12571.059570,12619.459961,12619.459961,73068700
81,12597.540039,12703.740234,12593.330078,12659.150391,12659.150391,88301200
90,12631.389648,12662.049805,12617.759766,12642.870117,12642.870117,71515700
92,12693.839844,12697.660156,12543.769531,12621.719727,12621.719727,57697300
93,12604.400391,12611.490234,12529.509766,12602.179688,12602.179688,73290800
94,12588.799805,12633.370117,12578.580078,12628.950195,12628.950195,36925100
95,12583.820313,12648.099609,12567.219727,12598.679688,12598.679688,72307400
100,12612.519531,12709.129883,12582.799805,12615.059570,12615.059570,136040800
101,12623.610352,12677.599609,12621.530273,12664.919922,12664.919922,87581100
107,12735.000000,12878.589844,12734.780273,12822.940430,12822.940430,88411500
