Date,Open,High,Low,Close,Adj Close,Volume
1,68.900002,69.029999,68.489998,69.000000,69.000000,19128800
2,68.970001,69.050003,68.419998,68.940002,68.940002,18566100
3,68.860001,69.279999,68.680000,69.040001,69.040001,22858400
4,68.989998,69.559998,68.919998,69.309998,69.309998,17977800
5,68.360001,68.730003,68.120003,68.459999,68.459999,28789400
6,68.610001,68.610001,68.040001,68.379997,68.379997,18714100
7,68.139999,68.480003,67.570000,68.430000,68.430000,31530300
8,68.230003,69.440002,68.160004,69.410004,69.410004,34956000
9,68.889999,69.099998,67.430000,67.480003,67.480003,30548800
10,67.400002,68.129997,67.139999,67.709999,67.709999,25201300
11,67.500000,68.099998,67.430000,67.690002,67.690002,26961100
12,67.889999,68.500000,67.500000,68.449997,68.449997,16237600
13,68.720001,68.750000,68.379997,68.680000,68.680000,15425800
14,68.870003,68.879997,68.449997,68.769997,68.769997,14593900
15,68.970001,69.879997,68.910004,69.620003,69.620003,21854100
16,69.800003,70.220001,69.519997,69.959999,69.959999,19827900
17,69.790001,70.410004,69.769997,70.410004,70.410004,17072800
18,70.529999,70.739998,69.809998,69.839996,69.839996,30436400
19,70.239998,70.610001,69.449997,70.099998,70.099998,21603600
20,70.440002,71.860001,70.239998,71.760002,71.760002,34604300
