Date,Open,High,Low,Close,Adj Close,Volume
5,2392.370117,2399.290039,2389.379883,2399.290039,2399.290039,3540140000
8,2399.939941,2401.360107,2393.919922,2399.379883,2399.379883,3429440000
9,2401.580078,2403.870117,2392.439941,2396.919922,2396.919922,3653590000
10,2396.790039,2399.739990,2392.790039,2399.629883,2399.629883,3643530000
11,2394.840088,2395.719971,2381.739990,2394.439941,2394.439941,3727420000
12,2392.439941,2392.439941,2387.189941,2390.899902,2390.899902,3305630000
15,2393.979980,2404.050049,2393.939941,2402.320068,2402.320068,3473600000
16,2404.550049,2405.770020,2396.050049,2400.669922,2400.669922,3420790000
17,2382.949951,2384.870117,2356.209961,2357.030029,2357.030029,4163000000
18,2354.689941,2375.739990,2352.719971,2365.719971,2365.719971,4319420000
19,2371.370117,2389.060059,2370.429932,2381.729980,2381.729980,3825160000
22,2387.209961,2395.459961,2386.919922,2394.020020,2394.020020,3172830000
23,2397.040039,2400.850098,2393.879883,2398.419922,2398.419922,3213570000
24,2401.409912,2405.580078,2397.989990,2404.389893,2404.389893,3389900000
25,2409.540039,2418.709961,2408.010010,2415.070068,2415.070068,3535390000
26,2414.500000,2416.679932,2412.199951,2415.820068,2415.820068,2805040000
27,2411.669922,2415.260010,2409.429932,2412.909912,2412.909912,3203160000
28,2415.629883,2415.989990,2403.590088,2411.800049,2411.800049,4516110000
29,2415.649902,2430.060059,2413.540039,2430.060059,2430.060059,3857140000
30,2431.280029,2440.229980,2427.709961,2439.070068,2439.070068,3461680000
